staff_id,staff_gpn,staff_bu_code
28525,CN010000001,CN409
28540,CN010468658,CN405
28542,CN010468691,CN401
28551,CN010469046,CN403
28559,CN010469065,CN403
28576,CN010469138,CN403
28586,CN010469144,CN403
28589,CN010469152,CN403
28594,CN010469190,CN403
28607,CN010406038,CN430
28716,CN010470257,CN401
28758,CN010463819,CN401
28776,CN010470815,CN405
28798,CN010464912,CN403
28812,CN010465621,CN419
28814,HK010465634,HK040
28863,CN010467023,CN401
28866,HK010472490,HK001
28917,CN010473392,CN401
28938,CN010473395,CN403
28942,CN010473416,CN401
28948,CN010473417,CN401
28949,CN010473418,CN401
28951,CN010473427,CN401
28955,CN010473457,CN401
28962,CN010469039,CN403
28975,CN010469053,CN403
28976,CN010469054,CN403
28989,CN010469062,CN403
29000,CN010473532,CN401
29003,CN010401848,CN722
29018,CN010402188,CN722
29035,HK010453786,HK070
29105,CN010456723,CN405
29111,HK010456850,HK001
29177,CN010447605,CN401
29221,CN010403171,CN401
29223,CN010403443,CN405
29225,CN010403491,CN417
29250,CN010461605,CN401
29284,CN010463193,CN401
29297,HK010463583,HK070
29312,CN010464313,CN403
29315,CN010452754,CN403
29329,CN010464686,CN420
29352,HK010453788,HK001
29354,CN010464704,CN403
29358,CN010464913,CN403
29396,CN010465635,CN419
29433,CN010466507,CN416
29452,CN010457744,CN428
29503,CN010473541,CN401
29513,CN010473555,CN401
29519,CN010469132,CN403
29524,CN010473565,CN401
29530,CN010469165,CN403
29542,CN010473616,CN407
29573,HK010474204,HK070
29579,CN010474214,CN403
29586,CN010469551,CN403
29606,CN010470211,CN414
29622,CN010470285,CN401
29630,CN010470317,CN401
29637,CN010470322,CN401
29673,CN010475310,CN403
29688,CN010417309,CN401
29720,HK010472553,HK001
29726,CN010472928,CN401
29767,CN010473367,CN401
29789,CN010477539,CN401
29825,CN010478414,CN403
29838,CN010479014,CN401
29867,CN010423002,CN422
29869,CN010423016,CN422
29870,CN010423029,CN422
29873,CN010423044,CN422
29875,CN010423046,CN422
29907,CN010480243,CN401
29914,CN010480497,CN403
29976,CN010426420,CN405
30009,CN010433215,CN417
30077,CN010482163,CN407
30087,CN010496561,CN403
30097,CN010433395,CN401
30116,CN010433442,CN401
30120,CN010433468,CN401
30131,CN010433491,CN415
30135,CN010483492,CN405
30145,CN010434786,CN414
30147,CN010434818,CN403
30174,CN010483990,CN401
30205,CN010485152,CN405
30260,CN010486139,CN405
30300,CN010436632,CN414
30304,CN010436651,CN407
30314,CN010436663,CN405
30374,CN010436702,CN403
30390,HK010504061,HK001
30431,HK010504168,HK040
30488,CN010504420,CN407
30507,CN010504739,CN401
30663,HK010442676,HK001
30664,HK010442683,HK001
30683,CN010502722,CN405
30741,HK010504079,HK001
30766,HK010504177,HK001
30947,CN010511253,CN401
30948,CN010511255,CN401
31018,CN010511972,CN403
31019,CN010511978,CN403
31035,CN010512020,CN403
31037,CN010512039,CN403
31038,CN010512040,CN403
31042,CN010512100,CN403
31043,CN010512110,CN403
31045,CN010512133,CN403
31046,CN010512140,CN403
31067,CN010512201,CN413
31069,CN010512223,CN416
31074,CN010512255,CN419
31097,CN010512265,CN419
31098,CN010512272,CN401
31099,CN010512279,CN422
31100,CN010512290,CN413
31104,CN010512339,CN413
31113,CN010512439,CN401
31114,CN010512443,CN401
31126,CN010512453,CN401
31128,CN010512474,CN401
31129,CN010512485,CN401
31130,CN010512487,CN401
31132,CN010512503,CN401
31133,CN010512510,CN401
31134,CN010512513,CN401
31135,CN010512517,CN401
