name_query,code,main_service_line,sub_service_line,engage_nature
AUD2021,22541503,1,1,0
AUD2021,22541543,1,1,0
AUD2021,22541613,2,1,0
AUD2021,22541648,2,1,0
AUD2021,22541688,1,1,0
AUD2021,22541728,1,1,0
AUD2021,22546278,1,1,0
AUD2021,22546293,2,1,0
AUD2021,22546318,2,1,0
AUD2021,22550533,2,1,0
AUD2021,22550578,2,1,0
Skecher,22738718,2,2,1
NFR_Adv,22739098,2,3,1
Amway C,16682393,2,1,1
AUD2021,22743068,2,1,1
INT2021,22743113,2,1,1
AUD2021,22743198,1,1,1
AUD2020,22743753,2,1,1
Project,22745823,2,4,1
IPO2020,22383918,2,1,1
Songmin,22398498,2,5,1
AUD2020,22405453,2,1,1
AUP2020,22405643,2,1,1
AUD2021,22529698,1,1,0
INT2021,22536163,2,1,0
Assessm,22692028,2,2,1
Hitevis,22692413,1,2,1
AUD2020,22405668,1,1,0
2020 ES,22406348,2,3,1
AUD2020,22406848,2,1,1
2T21 Ch,22953613,2,4,1
ESG man,22452403,2,3,1
AUD2020,22452688,1,1,1
Takeda ,22136763,2,4,1
2020 ES,22392703,2,3,1
NTS2021,22462453,1,1,1
AUD2021,22466188,2,5,1
NTS2021,22467023,1,1,1
FEM CN ,22472473,2,4,1
Red Mab,22472713,2,4,1
IPO2021,22505778,2,1,1
IPO2021,22505798,2,1,1
NTS2022,22985998,1,1,1
IPO2022,22986198,2,1,1
Yunnan ,22991953,2,5,1
SPC2021,22992028,1,1,1
AUD2020,22370308,2,1,1
Project,22370328,2,4,1
Project,22376318,2,4,1
Project,23265613,2,4,1
Taiping,23277568,2,2,1
GZ_Auto,23277638,2,3,1
2022 Mi,23277668,2,3,1
AUD2022,23277728,2,1,0
AUD2022,23277743,2,1,0
AUD2022,23277753,2,1,0
AUD2022,23277803,2,1,1
IT eval,23277993,2,4,1
AUD2022,23278028,2,1,1
AUD2022,23278043,1,1,1
AUP2022,23278138,2,1,1
Forensi,23278208,2,4,1
AUD2022,23278323,1,1,1
AUD2020,23278328,2,1,1
AUP2021,22414123,2,1,1
AUD2021,22560093,2,1,0
IPO2020,22560213,2,1,1
AUD2021,22560268,1,1,0
IPO2020,22560278,2,1,1
AUD2021,22562003,1,1,0
AUD2021,22562013,2,1,0
AUD2021,22562018,1,1,0
AUD2021,22562043,1,1,0
AUD2021,22562048,2,1,0
AUD2021,22562053,1,1,0
AUD2021,22562073,2,1,0
AUD2021,22562138,2,1,0
AUD2021,22562158,1,1,0
AUD2021,22562978,1,1,0
AUD2021,22562998,1,1,0
AUD2021,22563068,1,1,0
AUD2021,22563103,2,1,0
AUD2021,22563108,2,1,0
AUD2021,22563118,2,1,0
AUD2021,22563123,2,1,0
AUD2021,22563128,2,1,0
AUD2021,22563133,2,1,0
AUD2021,22563138,2,1,0
AUD2021,22563143,2,1,0
AUD2021,22563148,2,1,0
AUD2021,22563153,2,1,0
AUD2021,22563158,2,1,0
AUD2021,22563163,2,1,0
Financi,22563473,2,2,1
NewLeas,22563493,2,2,1
AUD2020,22563588,2,1,1
Bruntai,22383748,2,5,1
IPO2021,22925673,2,1,1
AUD2021,22926153,2,1,1
Project,22926418,2,4,1
New lea,22926593,2,2,1
2021-SA,22926643,2,5,1
IPO2021,22926908,2,1,1
AUD2021,22538733,1,1,0
AUD2021,22538738,2,1,0
IPO2021,22731228,2,1,1
FAA2020,22702103,2,1,1
AUD2021,22702323,2,1,1
AUP2021,22702408,2,1,1
SPC2021,22841843,2,1,1
Project,22802288,2,4,1
AUP2021,22802508,1,1,1
AUD2021,22698433,1,1,1
AUD2021,22698688,1,1,1
SPC2021,22698733,2,1,1
INT2021,22699148,1,1,1
SPC2021,22699168,2,1,1
SPC2021,22699268,2,1,1
SOX 404,22699468,2,2,1
AUD2021,22957243,2,1,1
CAP2022,22971863,1,1,1
常州合全新药生,22971923,2,5,1
FAAS PA,22971983,2,2,1
AUD2021,22972163,1,1,1
IPO2021,22972618,2,1,1
NTS2021,22564933,2,1,1
Yunnan ,22578938,2,5,1
AUD2021,22555768,2,1,0
Project,22610238,2,4,1
Mubea R,22610543,2,2,1
INT2021,22610763,1,1,1
AUD2021,22610768,1,1,1
AUD2021,22610778,1,1,1
Project,22610868,2,4,1
AUD2020,22613448,2,1,1
AUD2021,22613623,2,1,1
AUD2020,22614503,2,1,1
AUD2021,22754048,2,1,1
AUD2021,22754103,2,1,1
VW BPDD,22754283,2,4,1
联发芯成都项目,22754423,2,5,1
Project,22754638,2,4,1
IPO2021,22754713,2,1,1
AFS2021,22754763,2,1,1
AUD2021,22543888,1,1,0
SOX 404,22665868,2,2,1
Acc sup,22665913,2,2,1
NTS2021,22667938,2,1,1
AUD2021,22973083,2,1,0
AUD2021,22925188,2,1,1
AUD2021,22925423,2,1,1
AUD2021,22925518,2,1,1
CAP2021,22973138,1,1,1
IPO2021,22973213,1,1,1
