eic_id,eic_gpn,eic_bu_code
30101,CN010433416,CN401
30115,CN010433438,CN420
30117,CN010433444,CN423
30149,CN010483712,CN403
30281,HK010436505,HK001
30287,CN010487579,CN401
30824,HK010445002,HK001
30869,CN010508454,CN403
30986,CN010450278,CN401
31011,CN010451537,CN403
31012,CN010511775,CN401
31084,CN010452053,CN401
31249,HK010510476,HK001
31441,HK010456036,HK001
31610,CN010460937,CN403
31649,HK010513345,HK001
31661,CN010516446,CN403
31662,CN010516447,CN410
31736,CN010046996,CN407
31838,CN010518261,CN416
31907,HK010466921,HK001
31968,CN010520432,CN401
32011,CN010544009,CN401
32014,CN010544040,CN401
32015,CN010544240,CN403
32038,CN010545104,CN403
32042,HK010545436,HK001
32106,CN010550490,CN401
32107,CN010550584,CN430
32120,CN010550845,CN401
32142,CN010551549,CN403
32161,CN010552770,CN403
32165,HK010479719,HK001
32190,CN010553324,CN425
32191,CN010553325,CN425
32209,HK010548837,HK001
32221,CN010548939,CN401
32223,CN010549186,CN410
32244,HK010480878,HK040
32261,CN010550058,CN401
32262,CN010550065,CN401
32263,CN010550067,CN403
32332,CN010552250,CN401
32371,HK010554656,HK001
32376,CN010552879,CN405
32427,CN010483963,CN401
32428,CN010483970,CN401
32491,CN010485132,CN401
32575,CN010536324,CN417
32667,CN010534609,CN405
32706,CN010539656,CN403
32736,HK010541592,HK001
32771,CN010542518,CN403
32815,HK010474242,HK001
32820,CN010543855,CN403
32833,CN010544239,CN403
32839,CN010474821,CN401
32893,CN010546519,CN401
32898,CN010540827,CN403
32952,CN010546822,CN401
32992,CN010547643,CN401
33060,CN010555171,CN406
33082,CN010556342,CN403
33097,CN010554285,CN405
33112,CN010485170,CN401
33132,CN010557177,CN401
33337,CN010047032,CN401
33442,CN010560198,CN401
33470,CN010562478,CN417
33474,CN010563250,CN403
33536,CN010520000,CN401
33730,CN010522348,CN722
33804,CN010526485,CN405
33863,CN010472197,CN401
33876,CN010472439,CN403
33894,CN010529538,CN403
33913,HK010472877,HK001
33945,CN010473187,CN403
33954,HK010532479,HK001
33963,CN010527576,CN401
34090,CN010565140,CN403
34097,CN010565389,CN411
34109,CN010556823,CN403
34182,CN010558311,CN406
34190,CN010566731,CN401
34366,HK010496384,HK001
34444,HK010570767,HK001
34464,CN010573147,CN403
34479,CN010498892,CN403
