id,eng_type
84447,101
84450,101
84451,101
84452,101
84453,101
84454,101
84458,101
84460,101
84462,101
84463,101
84465,101
84466,101
84467,101
84468,101
84469,101
84471,101
84473,101
84474,101
84475,101
84478,101
84479,101
84482,101
84486,101
84488,101
84490,101
84491,101
84492,101
84494,101
84495,101
84498,101
84500,101
84505,101
84508,101
84509,101
84512,101
84525,101
84536,101
84539,101
84549,101
84551,201
84553,101
84554,101
84574,101
84575,101
84578,101
84583,101
84584,101
84587,101
84588,101
84592,101
84595,101
84607,101
84608,101
84618,101
84642,101
84652,101
84666,101
84672,101
84673,101
84675,101
84676,101
84679,101
84680,101
84683,101
84686,101
84689,101
84698,101
84706,101
84713,101
84717,101
84719,101
84720,101
84722,101
84729,101
84744,101
84748,101
84764,101
84766,101
84775,101
84798,101
84816,101
84819,101
84845,101
84846,101
84885,101
84886,101
84897,101
84903,101
84904,101
84910,101
84919,101
84920,101
84936,101
84943,101
84946,101
84949,101
84952,101
84966,101
84967,101
84969,101
84971,101
84974,101
84982,101
84985,101
84986,101
84988,101
84993,101
84998,101
84999,101
85001,101
85002,101
85006,101
85014,101
85017,101
85020,101
85021,101
85022,101
85023,101
85035,101
85043,101
85044,101
85051,101
85058,101
85060,101
85062,101
85066,101
85069,101
85071,101
85076,101
85079,101
85080,101
85081,101
85097,101
85098,101
85099,101
85100,101
85101,101
85107,101
85108,101
85109,101
85110,101
85112,101
85113,101
85116,101
85118,101
85120,101
85122,101
85124,101
85127,101
85132,101
85137,101
85138,101
85139,101
85140,101
85141,101
85142,101
85143,101
85144,101
85145,101
85146,101
85147,101
85148,101
85149,101
85150,101
85151,101
85152,101
85153,101
85154,101
85155,101
85157,101
85159,101
85166,101
85168,101
85174,101
85175,101
85176,101
85177,101
85178,101
85181,101
85183,101
85193,101
85196,101
85205,101
85207,101
85211,101
85218,101
85220,101
85221,101
85222,101
85223,101
85225,101
85226,101
85250,101
85253,101
85264,101
85267,101
85270,101
85273,101
85287,101
85288,101
85313,101
85319,101
85322,101
85337,101
85338,101
85358,101
85359,101
85360,101
85366,101
85367,101
85369,101
85374,101
85375,101
85376,101
85378,101
85381,101
85384,101
85388,101
85391,101
85392,101
85394,101
85415,101
85418,101
85420,101
85423,101
85429,101
85436,101
85443,101
85445,101
85467,101
85472,101
85502,101
85505,101
85514,101
85519,101
85520,101
85522,101
85526,101
85528,101
85530,101
85535,101
85537,101
85544,101
85546,101
85550,101
85551,101
85552,101
85555,101
85558,101
85561,101
85563,101
85566,101
85567,101
85568,101
85571,101
85579,101
85582,101
85595,101
85596,101
85599,101
85602,101
85608,101
85611,101
85615,101
85616,101
85617,101
85619,101
85622,101
85624,101
85628,101
85631,101
85636,101
85637,101
85639,101
85645,101
85657,101
85658,101
85666,101
85670,101
85684,101
85705,101
85707,101
85708,101
85709,101
85710,101
85711,101
85713,101
85718,101
85719,101
85726,101
85730,101
85733,101
85735,101
85777,101
85789,101
85791,101
85798,101
85799,101
85800,101
85801,101
85802,101
85803,101
85805,101
85806,101
85809,101
85811,101
85812,101
85813,101
85814,101
85815,101
85816,101
85818,101
85820,101
85822,101
85823,101
85824,101
85825,101
85826,101
85827,101
85828,101
85832,101
85834,101
85836,101
85837,101
85840,101
85841,101
85842,101
85843,101
85844,101
85845,101
85846,101
85847,101
85848,101
85851,101
85852,101
85853,101
85854,101
85856,101
85857,101
85858,101
85859,101
85861,101
85865,101
85866,101
85867,101
85868,101
85869,101
85870,101
85871,101
85872,101
85874,101
85875,101
85876,101
85878,101
85879,101
85881,101
85882,101
85884,101
85885,101
85888,101
85892,101
85893,101
85894,101
85898,101
85900,101
85901,101
85902,101
85903,101
85904,101
85905,101
85906,101
85907,101
85909,101
85911,101
85912,101
85913,101
85914,101
85915,101
85916,101
85917,101
85918,101
85919,101
85920,101
85921,101
85922,101
85923,101
85924,101
85925,101
85927,101
85939,101
85944,101
85950,101
85956,101
85960,101
85969,101
85973,101
86077,101
86088,101
86089,101
86091,101
86093,101
86095,101
86096,101
86097,101
86098,101
86099,101
86100,101
86101,101
86103,101
86104,101
86105,101
86106,101
86109,101
86110,101
86112,101
86114,101
86115,101
86117,101
86119,101
86120,101
86123,101
86125,101
86126,101
86127,101
86132,101
86133,101
86135,101
86136,101
86137,101
86139,101
86140,101
86141,101
86143,101
86144,101
86145,101
86146,101
86147,101
86148,101
86150,101
86152,101
86153,101
86154,101
86156,101
86157,101
86159,101
86160,101
86161,101
86166,101
86167,101
86169,101
86172,101
86174,101
86177,101
86178,101
86179,101
86180,101
86181,101
86184,101
86189,101
86190,101
86191,101
86192,101
86194,101
86195,101
86198,101
86200,101
86202,101
86203,101
86205,101
86206,101
86208,101
86209,101
86210,101
86211,101
86212,101
86213,101
86215,101
86216,101
86217,101
86218,101
86219,101
86220,101
86221,101
86222,101
86223,101
86224,101
86226,101
86227,101
86228,101
86229,101
86230,101
86231,101
86232,101
86233,101
86234,101
86238,101
86239,101
86240,101
86241,101
86242,101
86244,101
86245,101
86246,101
86247,101
86248,101
86255,101
86256,101
86257,101
86258,101
86259,101
86262,101
86263,101
86264,101
86266,101
86267,101
86268,101
86269,101
86270,101
86271,101
86273,101
86274,101
86275,101
86277,101
86278,101
86279,101
86280,101
86281,101
86284,101
86285,101
86287,101
86288,101
86289,101
86290,101
86292,101
86296,101
86297,101
86298,101
86300,101
86303,101
86305,101
86306,101
86307,101
86309,101
86311,101
86312,101
86313,101
86314,101
86316,101
86317,101
86318,101
86319,101
86320,101
86322,101
86325,101
86326,101
86329,101
86330,101
86331,101
86332,101
86333,101
86335,101
86337,101
86338,101
86339,101
86340,101
86341,101
86343,101
86344,101
86345,101
86346,101
86348,101
86349,101
86350,101
86351,101
86352,101
86354,101
86355,101
86357,101
86358,101
86359,101
86360,101
86361,101
86363,101
86364,101
86365,101
86366,101
86367,101
86368,101
86369,101
86370,101
86371,101
86372,101
86373,101
86375,101
86377,101
86389,101
86394,101
86396,101
86398,101
86400,101
86411,101
86412,101
86413,101
86414,101
86429,101
86438,101
86440,101
86441,101
86452,101
86456,101
86460,101
86461,101
86462,101
86469,101
86471,101
86488,101
86494,101
86501,101
86508,101
86509,101
86510,101
86515,101
86520,101
86521,101
86530,101
86531,101
86535,101
86537,101
86558,101
86559,101
86561,101
86562,101
86563,101
86564,101
86565,101
86566,101
86575,101
86577,101
86579,101
86581,101
86584,101
86587,101
86591,101
86594,101
86596,101
86597,101
86615,101
86616,101
86617,101
86618,101
86619,101
86620,101
86622,101
86624,101
86625,101
86626,101
86628,101
86629,101
86630,101
86637,101
